Brand,Prouduct Name,Price,Expected Delivary,Return-Exchange,Availibilty,Img Url
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","4,999","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfYXRmOjMwMDAxNTUzNzk3OTIzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Orange (Combo, Strings,Bag,Picks and guitar course)","2,499","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfYXRmOjMwMDAyNTIxNzI0MTYzMjo6MDo6&url=%2FMedellin-Acoustic-Guitar-learning-Strings%2Fdp%2FB0CCNSN6S4%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","11,999","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfYXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Pink (Combo, Strings,Bag,Picks and guitar course)","2,499","Sunday, 3 September",7 days Replacement,Only 1 left in stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfYXRmOjMwMDAyNTIxNzI0MTczMjo6MDo6&url=%2FMedellin-Acoustic-Guitar-learning-Strings%2Fdp%2FB0CCNSN9BV%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","1,999","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_5?keywords=guitar&qid=1693314444&sr=8-5
YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","7,399","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_6?keywords=guitar&qid=1693314444&sr=8-6
Intern,"Intern INT-38C Lindenwood Acoustic Guitar Kit (Sunburst) With Carry Bag, Picks, Strings Set And Guitar Strap (Small)","2,049","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_7?keywords=guitar&qid=1693314444&sr=8-7
-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_8?keywords=guitar&qid=1693314444&sr=8-8
Fender,Fender Acoustic Guitar Dreadnought CD60 V3 Black 970110506,"12,500","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM4B5LJ/ref=sr_1_9?keywords=guitar&qid=1693314444&sr=8-9
-,-,-,-,-,-,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_10?keywords=guitar&qid=1693314444&sr=8-10
-,-,-,-,-,-,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOHG/ref=sr_1_11?keywords=guitar&qid=1693314444&sr=8-11
Intern,"Intern 38C Acoustic Steel-string Guitar Premium White Cutaway Design with carry bag, strings, guitar strap and plectrums (INT-38C-WH)","2,149","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-Acoustic-Steel-string-plectrums-INT-38C-WH/dp/B09LR94Z2X/ref=sr_1_12?keywords=guitar&qid=1693314444&sr=8-12
Kadence,"Kadence Frontier Acoustic Guitar 40"" with Learning Course, Die cast keys, with Combo (Bag,strap,strings And 3 picks) (Blue, Acoustic)","4,499","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Wihtout-strings/dp/B08PKJGRJB/ref=sr_1_13?keywords=guitar&qid=1693314444&sr=8-13
-,-,-,-,-,-,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOGM/ref=sr_1_14?keywords=guitar&qid=1693314444&sr=8-14
YAMAHA,"Yamaha FS100C Acoustic Guitar, Black","10,490","Friday, 8 September",7 days Replacement,In stock,https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_15?keywords=guitar&qid=1693314444&sr=8-15
-,-,-,-,-,-,https://www.amazon.in/Yamaha-F370-Acoustic-Guitar-Natural/dp/B000WITPJM/ref=sr_1_16?keywords=guitar&qid=1693314444&sr=8-16
REVEL,Revel 38 Inches Lindenwood Cutaway Design Acoustic Guitar With Carry Bag And Plectrums. (sunburst),"2,049","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Lindenwood-Cutaway-Acoustic-Plectrums-sunburst/dp/B085HV4YW7/ref=sr_1_17?keywords=guitar&qid=1693314444&sr=8-17
Henrix,"Henrix 38C 38 Inch Cutaway Acoustic Guitar With Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder, Strap, Polishing Cloth & Ebook - Black","2,999","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VNDW6QF/ref=sr_1_18?keywords=guitar&qid=1693314444&sr=8-18
allmusicmart,"“ALL WOODEN” 38” INCH Guitar Combo Pack For Beginner Adults Childs Starter Bundle Kit,Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder,Strap,Matt Black","2,450","Monday, 4 September",7 days Replacement,In stock,https://www.amazon.in/WOODEN-Guitar-Beginner-Adults-Starter/dp/B0C816MJ4Y/ref=sr_1_19?keywords=guitar&qid=1693314444&sr=8-19
Medellin,"Medellin 38"" Acoustic Guitar premium wood with adjustable Truss-rod, free online learning course, Set Of Strings, Strap, Bag and 3 Picks (black)","2,649","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/Medellin-Acoustic-adjustable-Truss-rod-learning/dp/B0BMKHTNX1/ref=sr_1_20?keywords=guitar&qid=1693314444&sr=8-20
allmusicmart,"“ALL WOODEN” 38” INCH Guitar Combo Pack For Beginner Adults Childs Starter Bundle Kit,Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder,Strap,Matt Black","2,450","Monday, 4 September",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfbXRmOjMwMDAwODEwODIwNDAzMjo6MDo6&url=%2FWOODEN-Guitar-Beginner-Adults-Starter%2Fdp%2FB0C816MJ4Y%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
VAULT,"Vault DA20 Dreadnought Acoustic Guitar With Gig-Bag, Picks, Strings Set, String Winder, Strap, Polishing Cloth And Allen Key","4,899","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfbXRmOjIwMDkyNjI0MDIxNTk4OjowOjo&url=%2FDreadnought-Acoustic-Gig-Bag-Strings-Polishing%2Fdp%2FB0BJJRJVHY%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
