Brand Name,Product Name,Colour,RAM,Storage Rom,Display,Primary Camera,Secondary Camera,Battery Capacity,Price,Product URL
M6 Pro 5G,"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)",Power Black,6 GB RAM,128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP,8MP Front Camera,5000 mAh Battery,"₹12,999",https://www.flipkart.com/poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGRNZ3ER4N3K4F.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
M6 Pro 5G,"POCO M6 Pro 5G (Forest Green, 64 GB)  (4 GB RAM)",Forest Green,4 GB RAM,64 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP,8MP Front Camera,5000 mAh Battery,"₹10,999",https://www.flipkart.com/poco-m6-pro-5g-forest-green-64-gb/p/itmbd07561c8265a?pid=MOBGRNZ3GHQF3QEZ&lid=LSTMOBGRNZ3GHQF3QEZVYNCA7&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGRNZ3GHQF3QEZ.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
M6 Pro 5G,"POCO M6 Pro 5G (Power Black, 64 GB)  (4 GB RAM)",Power Black,4 GB RAM,64 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP,8MP Front Camera,5000 mAh Battery,"₹10,999",https://www.flipkart.com/poco-m6-pro-5g-power-black-64-gb/p/itm539f4c528c1d9?pid=MOBGRNZ3RT5DNKKD&lid=LSTMOBGRNZ3RT5DNKKDYSRKNX&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGRNZ3RT5DNKKD.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
C51,"POCO C51 (Power Black, 64 GB)  (4 GB RAM)",Power Black,4 GB RAM,64 GB ROM,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera,5MP Front Camera,5000 mAh Battery,"₹6,499",https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGZCQFWM5HZHXX.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
C50,"POCO C50 (Royal Blue, 32 GB)  (2 GB RAM)",Royal Blue,2 GB RAM,32 GB ROM,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera,5MP Front Camera,5000 mAh Lithium Polymer Battery,"₹5,499",https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGK8WZUTGDEZFA.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
C55,"POCO C55 (Cool Blue, 128 GB)  (6 GB RAM)",Cool Blue,6 GB RAM,128 GB ROM,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera,5MP Front Camera,5000 mAh Battery,"₹8,499",https://www.flipkart.com/poco-c55-cool-blue-128-gb/p/itm26aca9fd143ba?pid=MOBGMXSWJHRVUWFE&lid=LSTMOBGMXSWJHRVUWFESKZGEW&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGMXSWJHRVUWFE.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
C51,"POCO C51 (Royal Blue, 64 GB)  (4 GB RAM)",Royal Blue,4 GB RAM,64 GB ROM,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera,5MP Front Camera,5000 mAh Battery,"₹6,499",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGZCQFCWNDK89P.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
12,"REDMI 12 (Moonstone Silver, 128 GB)  (6 GB RAM)",Moonstone Silver,6 GB RAM,128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP,8MP Front Camera,5000 mAh Battery,"₹11,499",https://www.flipkart.com/redmi-12-moonstone-silver-128-gb/p/itm6722b15672602?pid=MOBGRMFK4CSR7GGH&lid=LSTMOBGRMFK4CSR7GGHHKEX2Z&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGRMFK4CSR7GGH.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
C55,"POCO C55 (Power Black, 128 GB)  (6 GB RAM)",Power Black,6 GB RAM,128 GB ROM,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera,5MP Front Camera,5000 mAh Battery,"₹8,499",https://www.flipkart.com/poco-c55-power-black-128-gb/p/itm52dfc91751293?pid=MOBGMXSWPMRNGVGW&lid=LSTMOBGMXSWPMRNGVGWJIL18S&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGMXSWPMRNGVGW.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
12,"REDMI 12 (Moonstone Silver, 128 GB)  (4 GB RAM)",Moonstone Silver,4 GB RAM,128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP,8MP Front Camera,5000 mAh Battery,"₹9,999",https://www.flipkart.com/redmi-12-moonstone-silver-128-gb/p/itme52e778c12701?pid=MOBGRMFK2MGRNG4Q&lid=LSTMOBGRMFK2MGRNG4QFZLVXT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGRMFK2MGRNG4Q.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
C50,"POCO C50 (Country Green, 32 GB)  (2 GB RAM)",Country Green,2 GB RAM,32 GB ROM,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera,5MP Front Camera,5000 mAh Lithium Polymer Battery,"₹5,499",https://www.flipkart.com/poco-c50-country-green-32-gb/p/itm0b3d5144d9c22?pid=MOBGK8WZYEJ3G5AA&lid=LSTMOBGK8WZYEJ3G5AAMF47BF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGK8WZYEJ3G5AA.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
e13,"MOTOROLA e13 (Aurora Green, 64 GB)  (4 GB RAM)",Aurora Green,4 GB RAM,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera,5MP Front Camera,5000 mAh Battery,"₹7,299",https://www.flipkart.com/motorola-e13-aurora-green-64-gb/p/itmb52d8f826cd9a?pid=MOBGKHNBA55HDSZR&lid=LSTMOBGKHNBA55HDSZRHOAFME&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGKHNBA55HDSZR.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
12,"REDMI 12 (Pastel Blue, 128 GB)  (6 GB RAM)",Pastel Blue,6 GB RAM,128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP,8MP Front Camera,5000 mAh Battery,"₹11,499",https://www.flipkart.com/redmi-12-pastel-blue-128-gb/p/itm9b1a6640faccd?pid=MOBGRMFKAHNTZPWE&lid=LSTMOBGRMFKAHNTZPWE1H5IWS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGRMFKAHNTZPWE.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
12,"REDMI 12 (Pastel Blue, 128 GB)  (4 GB RAM)",Pastel Blue,4 GB RAM,128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP,8MP Front Camera,5000 mAh Battery,"₹9,999",https://www.flipkart.com/redmi-12-pastel-blue-128-gb/p/itm48719506a7ceb?pid=MOBGRMFKKGYD9ETX&lid=LSTMOBGRMFKKGYD9ETX5KD9VL&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGRMFKKGYD9ETX.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
T2x 5G,"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)",Aurora Gold,8 GB RAM,128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP,8MP Front Camera,5000 mAh Battery,"₹15,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASX1YPF2N&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=60a5606c-7130-4719-84c2-4c180b99de4b.MOBGZBFUSEFSWASX.SEARCH&ppt=sp&ppn=sp&ssid=jypnofbf1c0000001693320728497&qH=1036ba3c4ed2c021
